Authors,Author Full Names,Article Title,Source Title,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Researcher Ids,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Volume,Issue,WoS Categories,Web of Science Index,Research Areas
"Liu, JX; Li, DY; Zhuo, YD; Zhang, SS","Liu, Jixiang; Li, Danyan; Zhuo, Yudi; Zhang, Shengsheng",Deep learning for detecting early gastric cancer with white-light endoscopy: a systematic review and meta-analysis,FRONTIERS IN ARTIFICIAL INTELLIGENCE,artificial intelligence; deep learning; detection; early gastric cancer; endoscopy,CONVOLUTIONAL NEURAL-NETWORKS; ARTIFICIAL-INTELLIGENCE,"Background and objectives: The aim of this study is to evaluate the performance of DL algorithms in diagnosing early gastric cancer (EGC) using white light endoscopic images. Methods: A systematic literature search was conducted in PubMed, Embase, Cochrane Library, and Web of Science up to July 25, 2025. Sensitivity and specificity were pooled for internal and external validation sets. The comparison between DL algorithms and expert endoscopists was performed using paired forest plots. Meta-regression was used to identify sources of heterogeneity. Results: In the internal validation, 15 studies comprising 37,037 images (range: 433-9,650) were included. Pooled sensitivity and specificity were 0.91 (95% CI: 0.82-0.95) and 0.93 (95% CI: 0.87-0.97), respectively. Meta-regression showed that heterogeneity in sensitivity and specificity was significantly associated with training dataset size. For external validation, 4 studies with 3,579 images (range: 200-1,514) were included, yielding pooled sensitivity and specificity of 0.82 (95% CI: 0.61-0.93) and 0.83 (95% CI: 0.74-0.90), respectively. No significant difference was observed between deep learning models and expert endoscopists in diagnostic sensitivity and specificity. Conclusion: Deep learning algorithms exhibit high diagnostic performance in detecting early gastric cancer using white-light endoscopy. The diagnostic accuracy of DL models is comparable to that of expert endoscopists, supporting their potential role as a clinical decision-support tool.","[Liu, Jixiang; Li, Danyan; Zhuo, Yudi; Zhang, Shengsheng] Capital Med Univ, Beijing Tradit Chinese Med Hosp, Dept Gastroenterol, Beijing, Peoples R China",Capital Medical University,,62,0,0,0,0,9.0,,"Computer Science, Artificial Intelligence; Computer Science, Information Systems",Emerging Sources Citation Index (ESCI),Computer Science
"Emegano, DI; Ozsahin, I; Isaac, EP; Ozsahin, DU; Silas, OS; Emegano, CL; Uzun, B","Emegano, Declan Ikechukwu; Ozsahin, Ilker; Isaac, Emeje Paul; Ozsahin, Dilber Uzun; Silas, Oyibo Saidu; Emegano, Chinonye Lynda; Uzun, Berna",Artificial intelligence and diagnosis and management of tuberculosis disease in children,CURRENT OPINION IN PEDIATRICS,artificial intelligence; chest X-ray; diagnostics; machine learning; pediatric tuberculosis,,"Purpose of reviewThe literature review is pertinent because diagnosing pediatric tuberculosis (PdTB) remains quite challenging, especially in areas with limited resources, due to complications caused by variable generalized symptoms, paucibacillary characteristics, vague clinical manifestations, and challenges associated with pediatric sputum sample production. Recent developments in artificial intelligence have the potential to enhance the accuracy of diagnoses and the effectiveness of treatments.Recent findingsNineteen published studies between January 2024 and July 2025 were examined, which focused on artificial intelligence driven chest X-ray (CXR) examination and medical prediction. The reviewed studies utilized convolutional neural networks (CNN), transfer learning, and stacked ensemble machine learning (SEML) to achieve sensitivity values ranging from 76.0 to 98.2%, specificity of 70.0 to 98.0%, and area under the curve (AUC) values of as high as 0.98 in AI-CXR diagnosis for the detection of PdTB. Through continuous experiments and use of the AI-CXR triage in Ethiopia (2025), successfully identifying over 30% of patients, while prediction models indicate 82% hepatotoxicity concerns in Nigerian cohorts. Plasma proteomics and exhaled breath analysis are emerging methodologies that exhibit potential; however, pediatric datasets are limited, necessitating multicenter validation.SummaryArtificial intelligence enhances the diagnosis and treatment prediction of PdTB in resource-constrained settings. The integration of artificial intelligence with existing diagnostic tools like GeneXpert and telemedicine strategies can significantly improve the efficiency of screening processes. Future research efforts should prioritize the expansion of pediatric datasets and the evaluation of multimodal AI-PdTB approaches.","[Emegano, Declan Ikechukwu; Ozsahin, Ilker; Ozsahin, Dilber Uzun; Uzun, Berna] Operat Res Ctr Healthcare, Mersin, Turkiye; [Emegano, Declan Ikechukwu] Near East Univ, TRNC, Dept Biomed Engn, Nicosia, Mersin, Turkiye; [Ozsahin, Ilker; Uzun, Berna] SIMATS, Saveetha Sch Engn, Dept Math Sci, Chennai, Tamil Nadu, India; [Isaac, Emeje Paul] Fed Univ, Coll Hlth Sci, Dept Med Lab Sci, Lokoja, Kogi, Nigeria; [Ozsahin, Dilber Uzun] Coll Hlth Sci, Dept Med Diagnost Imaging, Camperdown, Australia; [Ozsahin, Dilber Uzun] Univ Sharjah, Res Inst Med & Hlth Sci, Sharjah, U Arab Emirates; [Silas, Oyibo Saidu] Fed Univ Lokoja, Fac Allied Hlth Sci, Dept Nursing Sci, Kogi, Nigeria; [Emegano, Chinonye Lynda] Fed Teaching Hosp Lokoja, Dept Histopathol, Med Lab Serv, Lokoja, Kogi, Nigeria; [Uzun, Berna] Near East Univ TRNC, Dept Math, Nicosia, Turkiye",Near East University; Saveetha Institute of Medical & Technical Science; Saveetha School of Engineering; University of Sharjah; Near East University,"Emegano, Declan/MVW-6408-2025; UZUN, BERNA/GXN-1283-2022",37,1,1,0,0,38.0,2,Pediatrics,Science Citation Index Expanded (SCI-EXPANDED),Pediatrics
"Conte, L; Filoni, A; Schinzari, L; Congedo, ES; Pietroleonardo, L; Rizzo, R; De Giorgi, U; Cascio, D; De Nunzio, G; Congedo, M","Conte, Luana; Filoni, Angela; Schinzari, Luca; Congedo, Ester Sofia; Pietroleonardo, Lucia; Rizzo, Rocco; De Giorgi, Ugo; Cascio, Donato; De Nunzio, Giorgio; Congedo, Maurizio",Artificial Intelligence in Reflectance Confocal Microscopy for Cutaneous Melanoma Computer-Assisted Detection: A Literature Review of Related Applications,APPLIED BIOSCIENCES,melanoma; reflectance confocal microscopy; artificial intelligence; neural networks; deep learning,LASER-SCANNING MICROSCOPY; PIGMENTED SKIN-LESIONS; IN-VIVO; IMAGE STACKS; MODEL; SEGMENTATION; DIAGNOSIS; FEATURES; BENIGN; IMPACT,"Cutaneous melanoma is one of the most aggressive skin cancers, and early diagnosis remains essential to reduce mortality. Reflectance Confocal Microscopy (RCM) provides non-invasive, quasi-histological images of the epidermis, dermoepidermal junction (DEJ), and dermis, enabling real-time assessment of melanocytic lesions. However, interpretation still relies on expert visual evaluation, which is time-consuming and subjective. In this context, Artificial Intelligence (AI) and Computer-Assisted Detection (CAD) systems are emerging as valuable tools to improve diagnostic accuracy and reproducibility. This review summarizes research on AI applications in RCM imaging for melanoma, focusing on three major areas: delineation of skin strata, segmentation of tissues and morphological patterns, and classification of benign versus malignant lesions. Early approaches included Bayesian classifiers, wavelet-based decision trees, and logistic regression, while recent studies have employed support vector machines, random forests, and increasingly deep learning architectures such as convolutional and recurrent neural networks. The results demonstrate encouraging accuracy in DEJ localization, the segmentation of diagnostically relevant patterns, and the discrimination of melanoma from benign nevi. We distinguish the maturity of dermoscopy-based AI (AUC (ROC) > 0.80 on large multicenter cohorts) from the still-exploratory evidence for RCM-based AI. Nonetheless, current studies are often limited by small datasets, heterogeneous protocols, and a lack of multicenter validation. Overall, progress in AI applied to RCM supports the development of CAD systems that could assist clinicians during acquisition and diagnosis, reducing unnecessary biopsies and improving early melanoma detection. Future work should address standardization, dataset expansion, and the integration of advanced AI methods to move closer to clinical implementation.","[Conte, Luana; Cascio, Donato] Univ Palermo, Dept Phys & Chem E Segre, I-90128 Palermo, Italy; [Conte, Luana; Cascio, Donato] Natl Inst Nucl Phys, Lab Nazl Sud, I-95123 Catania, Italy; [Conte, Luana; Rizzo, Rocco; De Nunzio, Giorgio] Local Hlth Author ASL Lecce, Lab Interdisciplinary Res Appl Med DReAM, Adv Data Anal Med ADAM, I-73100 Lecce, Italy; [Filoni, Angela; Schinzari, Luca; Congedo, Ester Sofia; Pietroleonardo, Lucia; Congedo, Maurizio] Vito Fazzi Hosp Lecce, UOSD Dermatol & Allergol Unit, I-73100 Lecce, Italy; [Rizzo, Rocco] Univ Salento, Dept Engn Innovat, I-73100 Lecce, Italy; [Rizzo, Rocco; De Nunzio, Giorgio] Natl Inst Nucl Phys, Branch Lecce, I-73100 Lecce, Italy; [De Giorgi, Ugo] Univ Salento, Dept Expt Med, I-73100 Lecce, Italy; [De Nunzio, Giorgio] Univ Salento, Dept Math & Phys E De Giorgi, Lab Biomed Phys & Environm, I-73100 Lecce, Italy",University of Palermo; Istituto Nazionale di Fisica Nucleare (INFN); Azienda Ospedaliera Vito Fazzi; University of Salento; Istituto Nazionale di Fisica Nucleare (INFN); University of Salento; University of Salento,"De Nunzio, Giorgio/L-7283-2015; Conte, Luana/AAC-1966-2019; Cascio, Donato/H-9812-2015",67,0,0,0,0,5.0,1,Biotechnology & Applied Microbiology,Emerging Sources Citation Index (ESCI),Biotechnology & Applied Microbiology
"Gul, G; Korejo, IA; Hakro, DN; Alqahtani, H; Abbasi, A; Babar, M; Al Rahbi, O; Ali, NI","Gul, Ghazala; Korejo, Imtiaz Ali; Hakro, Dil Nawaz; Alqahtani, Haitham; Abbasi, Abdullah; Babar, Muhammad; Al Rahbi, Osama; Ali, Najma Imtiaz","Machine Learning and Ensemble Methods for Cardiovascular Disease Prediction: A Systematic Review of Approaches, Performance Trends, and Research Challenges",COMPUTERS,prediction; machine learning; decision tree; heart disease; ensemble; majority voting,ALGORITHMS; CLASSIFICATION; DIAGNOSIS; MODEL,"Knowledge discovery helps mitigate the shortcomings of classical machine learning, especially those so-called imbalanced, high-dimensional, and noisy data challenges. Adaptive combination of multiple models, voting and other data fusion strategies, and the incorporation of other disparate information fusion methods characterize ensemble learning, which addresses the improvement of a predictive model's accuracy, stability, and generalization. This paper provides a summary of the important approaches to ensemble learning and their real-world uses, emphasizing challenges and opportunities for future work. This paper also discusses how ensemble learning integrates with emergent areas such as deep learning and reinforcement learning. This paper also describes the most important machine learning methods for predicting heart disease, which include decision trees, support vector machines, artificial neural networks, Na & iuml;ve Bayes, random forest, and K-nearest neighbors.","[Gul, Ghazala; Korejo, Imtiaz Ali; Ali, Najma Imtiaz] Univ Sindh, Inst Math & Comp Sci, Jamshoro 76080, Sindh, Pakistan; [Hakro, Dil Nawaz] Univ Sindh, Dept Software Engn, Jamshoro 76080, Sindh, Pakistan; [Hakro, Dil Nawaz; Abbasi, Abdullah; Babar, Muhammad; Al Rahbi, Osama] Middle East Coll, Dept Comp & Elect Engn, Muscat 124, Oman; [Alqahtani, Haitham] Univ Technol Bahrain, Coll Engn, Salmabad 18041, Bahrain; [Ali, Najma Imtiaz] Univ Teknikal Malaysia Melaka, Dept Software Engn SE, Fak Teknol Maklumat dan Komunikasi, Melaka 76100, Malaysia",University of Sindh; University of Sindh; Universiti Teknologi Malaysia; University Teknikal Malaysia Melaka,"/AAO-1442-2020; Hakro, Dil Nawaz/AAU-7369-2020; Ali, Najma/NVL-7831-2025; Babar, Muhammad/IQT-9286-2023",108,1,1,3,3,15.0,1,"Computer Science, Interdisciplinary Applications",Emerging Sources Citation Index (ESCI),Computer Science
"Böttcher, L","Bottcher, Lucas",Control of dynamical systems with neural networks,NONLINEAR DYNAMICS,Dynamical systems; Control; Neural networks; Neural ODEs; Reinforcement learning; Model predictive control; Conformal prediction,MODEL; POLICIES,"Control problems frequently arise in scientific and industrial applications, where the objective is to steer a dynamical system from an initial state to a desired target state. Recent advances in deep learning and automatic differentiation have made it increasingly practical to apply these methods to control problems. This paper provides an accessible overview of how neural networks and modern machine learning frameworks can be used to parameterize control inputs for both discrete-time and continuous-time systems, encompassing deterministic and stochastic dynamics. Applications are highlighted across multiple domains, including biology, engineering, physics, and medicine. For continuous-time dynamical systems, neural ordinary differential equations (neural ODEs) provide a useful approach to parameterizing control inputs, while in discrete-time settings, custom control-input parameterizations can be implemented and optimized using automatic differentiation. Overall, the methods presented offer practical solutions for control tasks that are computationally demanding or analytically intractable, making them valuable for complex real-world applications.","[Bottcher, Lucas] Frankfurt Sch Finance & Management, Dept Computat Sci & Philosophy, Adickesallee 32 34, D-60322 Frankfurt Am Main, Germany; [Bottcher, Lucas] Univ Florida, Lab Syst Med, Gainesville, FL 32610 USA",State University System of Florida; University of Florida,"Böttcher, Lucas/KCL-6080-2024",129,0,0,5,5,114.0,2,"Engineering, Mechanical; Mechanics",Science Citation Index Expanded (SCI-EXPANDED),Engineering; Mechanics
"Mansor, SF; Roslan, MNF; Dzulkarnain, SMH; Rahim, NA; Azman, NA; Mahyudin, NF","Mansor, Siti Farizan; Roslan, Muhammad Nabil Fikri; Dzulkarnain, Syarifah Masyitah Habib; Rahim, Nurhidayah Ab.; Azman, Nur Atikah; Mahyudin, Nur Farhana",Artificial intelligence in breast cancer diagnosis through histopathology and biomarker detection: a scoping review,BIOMEDICAL RESEARCH AND THERAPY,breast cancer; histopathology; digital images; artificial intelligence; deep learning; machine learning; tumour biomarker,,"Breast cancer diagnostics depend critically on the accurate histopathological evaluation and identification of tumour biomarkers in biopsies and serum. While standard operating procedures (SOPs) provide structured diagnostic workflows, they are constrained by inter-observer variability, staining inconsistencies, and inconsistencies in interpretive criteria and decision thresholds. Artificial intelligence (AI) offers promising solutions by integrating heterogeneous data sources and standardising interpretation. This scoping review critically evaluates 11 recent studies on AI-driven approaches for tumour biomarker detection using serum panels, immunohistochemistry (IHC) images, digital histopathology, and morphology-based prediction. AI techniques such as convolutional neural networks, gradient-boosted machines, and ensemble models, have demonstrated improvements in diagnostic performance, reproducibility, and efficiency, achieving up to 92.9% specificity in serum-based models and image-based classifications. Several studies have shown that AI can infer molecular biomarker status directly from H&E-stained slides, thereby eliminating the need for biochemical assays. Despite these advances, significant challenges persist. Many models lack external validation, explainability, and integration into clinical workflows. Furthermore, concerns regarding data bias, ownership, and equitable deployment highlight the urgent need for ethical governance and inclusive model design. Future research should prioritise prospective validation, multimodal data integration, and clinician-centred implementation strategies to realise AI's potential in advancing breast cancer diagnostics and personalised care.","[Mansor, Siti Farizan; Roslan, Muhammad Nabil Fikri; Dzulkarnain, Syarifah Masyitah Habib; Rahim, Nurhidayah Ab.; Azman, Nur Atikah; Mahyudin, Nur Farhana] Univ Teknol MARA, Fac Hlth Sci, Cawangan Pulau Pinang Kampus, Bertam 13200, Pulau Pinang, Malaysia; [Mansor, Siti Farizan] Univ Sains Malaysia, Adv Med & Dent Inst AMDI, Dept Biomed Sci, Kepala Batas Penang 13200, Malaysia",Universiti Sains Malaysia,"AB RAHIM, NURHIDAYAH/GXH-1016-2022; masyitah, syarifah/A-6585-2015",28,0,0,1,1,13.0,3,"Medicine, Research & Experimental",Emerging Sources Citation Index (ESCI),Research & Experimental Medicine
"Czaplinski, M; Redlarski, G; Wieczorek, M; Kowalski, P; Tojza, PM; Sikorski, A; Zak, A","Czaplinski, Mieszko; Redlarski, Grzegorz; Wieczorek, Mateusz; Kowalski, Pawel; Tojza, Piotr Mateusz; Sikorski, Adam; Zak, Arkadiusz",An Overview of Existing Applications of Artificial Intelligence in Histopathological Diagnostics of Lymphoma: A Scoping Review,APPLIED SCIENCES-BASEL,hematopathology; artificial intelligence; lymphoma; histopathology; diagnostics,CHRONIC LYMPHOCYTIC-LEUKEMIA; CLASSIFICATION; IMAGES; HODGKIN; FUSION,"Background: Artificial intelligence (AI) shows promising results in lymphoma detection, prediction, and classification. However, translating these findings into practice requires a rigorous assessment of potential biases, clinical utility, and further validation of research models. Objective: The goal of this study was to summarize existing studies on artificial intelligence models for the histopathological detection of lymphoma. Design: This study adhered to the PRISMA Extension for Scoping Reviews (PRISMA-ScR) guidelines. A systematic search was conducted across three major databases (Scopus, PubMed, Web of Science) for English-language articles and reviews published between 2016 and 2025. Seven precise search queries were applied to identify relevant publications, accounting for variations in study modality, algorithmic architectures, and disease-specific terminology. Results: The search identified 612 records, of which 36 articles met the inclusion criteria. These studies presented 36 AI models, comprising 30 diagnostic and six prognostic applications, with Convolutional Neural Networks (CNNs) being the predominant architecture. Regarding data sources, 83% (30/36) of datasets utilized Hematoxylin and Eosin (H&E)-stained images, while the remainder relied on diverse modalities, including IHC-stained slides, bone marrow smears, and other tissue preparations. Studies predominantly utilized retrospective, private cohorts with sample sizes typically ranging from 50 to 400 patients; only a minority leveraged open-access repositories (e.g., Kaggle, TCGA). The primary application was slide-level multi-class classification, distinguishing between specific lymphoma subtypes and non-neoplastic controls. Beyond diagnosis, a subset of studies explored advanced prognostic tasks, such as predicting chemotherapy response and disease progression (e.g., in CLL), as well as automated biomarker quantification (c-MYC, BCL2, PD-L1). Reported diagnostic performance was generally high, with accuracy ranging from 60% to 100% (clustering around 90%) and AUC values spanning 0.70 to 0.99 (predominantly >0.90). Conclusions: While AI models demonstrate high diagnostic accuracy, their translation into practice is limited by unstandardized protocols, morphological complexity, and the black box nature of algorithms. Critical issues regarding data provenance, image noise, and lack of representativeness raise risks of systematic bias, hence the need for rigorous validation in diverse clinical environments.","[Czaplinski, Mieszko; Redlarski, Grzegorz; Wieczorek, Mateusz; Kowalski, Pawel; Tojza, Piotr Mateusz; Sikorski, Adam; Zak, Arkadiusz] Fahrenheit Union Univ, Gdansk Zwyciestwa Ave 27, PL-80219 Gdansk, Poland; [Czaplinski, Mieszko; Tojza, Piotr Mateusz] Med Univ Gdansk, Univ Clin Ctr, Debinki 7, PL-80952 Gdansk, Poland; [Redlarski, Grzegorz; Wieczorek, Mateusz; Kowalski, Pawel; Tojza, Piotr Mateusz; Sikorski, Adam; Zak, Arkadiusz] Gdansk Univ Technol, Dept Elect & Control Engn, Narutowicza 11-12, PL-80233 Gdansk, Poland",Fahrenheit Universities; Medical University Gdansk; Fahrenheit Universities; Gdansk University of Technology,"/H-4568-2018; Kowalski, Paweł/AAS-9430-2021; Wieczorek, Mateusz/QDN-0103-2026; /AAF-4793-2021",75,0,0,0,0,16.0,6,"Chemistry, Multidisciplinary; Engineering, Multidisciplinary; Materials Science, Multidisciplinary; Physics, Applied",Science Citation Index Expanded (SCI-EXPANDED),Chemistry; Engineering; Materials Science; Physics
"Alshehri, FA; Alamri, A; Alqahtani, S; Almoslemany, MA; Temsah, AA; Temsah, MH; Alshehri, M","Alshehri, Fahad Ali; Alamri, Abdullah; Alqahtani, Sami; Almoslemany, Mohamed Atef; Temsah, Abdulkarim A.; Temsah, Mohamad-Hani; Alshehri, Mohammed","An interdisciplinary framework for artificial intelligence, precision medicine, and ethical governance in periodontal care: a systematic review",BMC ORAL HEALTH,Artificial intelligence; Precision medicine; Periodontology; Ethical governance; Review,SUBTYPES,"Introduction Periodontal disease represents a significant global health challenge, affecting nearly one billion people worldwide. The integration of artificial intelligence (Al), precision medicine, and ethical governance frameworks offers transformative potential for revolutionizing periodontal care through personalized approaches and enhanced diagnostic capabilities. Methods A systematic search of electronic databases including PubMed/MEDLINE, Web of Science, Scopus, and IEEE Xplore were conducted for literature published from 2020 onward. The study selection process identified publications focusing on Al, precision medicine, or ethical governance in periodontal care. Inclusion criteria encompassed studies involving human subjects or human-derived data, published in English from 2020 onward. Data extraction captured study characteristics, Al performance metrics, precision medicine applications, and ethical considerations. A narrative synthesis approach was employed to analyze and organize the findings into three domains: Al applications, precision medicine approaches, and ethical governance frameworks. Results A total of 326 records were identified from databases, with 63 studies meeting inclusion criteria. The analysis revealed that Al algorithms, particularly convolutional neural networks, achieved exceptional diagnostic performance with area under the curve (AUC) values frequently exceeding 0.85 for automated detection of periodontal bone loss and disease classification. Precision medicine approaches demonstrated significant advances through genetic susceptibility profiling, salivary biomarker identification, and personalized treatment protocols. However, critical ethical challenges emerged, including data privacy concerns, algorithmic bias in underrepresented populations, and regulatory gaps in dental Al applications. Conclusion The convergence of Al and precision medicine represents a paradigm shift in periodontal care, enabling unprecedented personalization of diagnosis and treatment. Successful implementation requires developing robust ethical governance frameworks, standardized validation protocols, and comprehensive educational programs to ensure equitable access and maintain clinical excellence while harnessing technological innovation.","[Alshehri, Fahad Ali] King Saud Univ, Coll Dent, Dept Periodont & Community Dent, Riyadh, Riyadh Region, Saudi Arabia; [Alamri, Abdullah; Alqahtani, Sami] King Saud Univ Med City, Dent Univ Hosp, Riyadh, Riyadh, Saudi Arabia; [Almoslemany, Mohamed Atef] Shebin El Koum Teaching Hosp, Vasc Surg Dept, Menoufia, Egypt; [Temsah, Abdulkarim A.] Specialized Med Ctr Hosp, Dent Dept, Riyadh, Saudi Arabia; [Temsah, Mohamad-Hani] King Saud Univ, Coll Med, Ctr Pediat Dept, Riyadh, Saudi Arabia; [Alshehri, Mohammed] Ctr Excellence Biotechnol Res, Riyadh, Riyadh Region, Saudi Arabia; [Alshehri, Mohammed] King Saud Univ Med City, Riyadh, Riyadh Region, Saudi Arabia",King Saud University; King Saud University; King Saud University; King Saud University,"ALSHEHRI, FAHAD/IXX-3122-2023; Al-Moslemany, Mohamed/HIK-3011-2022; Alamri, Abdullah/C-3108-2012; Temsah, Mohamad-Hani/AAJ-9703-2020",103,0,0,3,3,26.0,1,"Dentistry, Oral Surgery & Medicine",Science Citation Index Expanded (SCI-EXPANDED),"Dentistry, Oral Surgery & Medicine"
"Subedi, B; Gautam, SH; LeBel, L","Subedi, Bibek; Gautam, Shuva Hari; LeBel, Luc",Artificial intelligence in the forest products supply chain: current applications and open challenges,FORESTRY,machine learning; forest products; forest supply chain; artificial intelligence,MANAGEMENT; SYSTEM; MODEL; CLASSIFICATION; BIOMASS; IMPACT; ISSUES,"The forest products supply chain (FPSC) is a complex distributed network that transforms raw forest resources into finished goods. It faces inherent complexities because of factors like divergent processes, coordination of independent business units, volatile markets, logistical challenges, and resource constraints. As supply chains across industries become more data driven, artificial intelligence (AI) has emerged as a powerful tool for optimizing supply chain operations. However, there has been limited research that systematically investigates the usage of such technologies in the FPSC. Here, we used a combination of a systematic literature review and a hermeneutic approach to examine the existing implementations and recent advancements of AI applications in the FPSC, and discuss key research challenges and future opportunities for AI adoption. It was found that a wide range of AI-based applications and algorithms were developed for specific purposes along the FPSC. For example, reinforcement learning was found to be especially suitable for spatial planning while convolutional neural networks were favoured for species classification and quality assurance from image data. Using a framework developed for this review, we highlight underexplored domains and open challenges which relate to fibre supply, forest operations, log storage, and transportation. AI methodologies are still rarely applied for tasks like harvest block allocation, inventory policy, and forest road layout design. For these underexplored domains, we suggest methodological solutions adopted from broader supply chain research which we assume to have high transferability potential to the FPSC. With this review, we aim on guiding stakeholders in leveraging AI for enhanced operational efficiency and informed decision-making.","[Subedi, Bibek; Gautam, Shuva Hari; LeBel, Luc] Univ Laval, Dept Wood & Forest Sci, Pavillon Abitibi Price 2405,Rue Terrasse, Quebec City, PQ G1V 0A6, Canada; [Subedi, Bibek; Gautam, Shuva Hari; LeBel, Luc] Univ Laval, FORAC Res Consortium, Pavillon Abitibi Price 1065,Ave Med, Quebec City, PQ G1V 0A6, Canada; [Subedi, Bibek; Gautam, Shuva Hari; LeBel, Luc] Interuniv Res Ctr Enterprise Networks Logist & Tra, Pavillon Abitibi Price 2325,Rue Terrasse, Quebec City, PQ G1V 0A6, Canada",Laval University; Laval University,"LeBel, Luc/H-4361-2019",152,0,0,5,5,99.0,2,Forestry,Science Citation Index Expanded (SCI-EXPANDED),Forestry
"González-Vergara, OA; Alarcón-Herrera, MT; Marín-Celestino, AE; Blanco-Jáquez, AD; García-Pazos, J; Villarreal-Rodríguez, S; Salazar, Y; Martínez-Cruz, DA","Gonzalez-Vergara, Oscar Abel; Alarcon-Herrera, Maria Teresa; Marin-Celestino, Ana Elizabeth; Blanco-Jaquez, Armando Daniel; Garcia-Pazos, Joel; Villarreal-Rodriguez, Samuel; Salazar, Yolocuauhtli; Martinez-Cruz, Diego Armando",A Systematic Review of River Discharge Measurement Methods: Evolution and Modern Applications in Water Management and Environmental Protection,EARTH,artificial intelligence; deep learning; remote sensing; river discharge estimation; hydrological monitoring; non-intrusive measurement,,"Accurate river discharge estimation is fundamental for water resource management under increasingly variable hydrological conditions. While conventional in situ techniques remain hydrometric reference standards, their operational deployment is constrained by cost, accessibility, and limited spatial coverage. Advances in remote sensing and artificial intelligence (AI) have introduced non-contact discharge estimation frameworks based on image-derived observations. This systematic review, conducted in accordance with Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 reporting guidelines, examines the evolution of river discharge measurement methods between 2004 and 2024 through a structured two-stage design. An initial search in Web of Science and Scopus identified 2809 records, of which 249 were retained for first-stage synthesis. A focused second-stage screening isolated seven studies that directly integrate image-based data with machine learning or deep learning architectures for discharge estimation. The analysis reveals a methodological transition from instrument-based hydrometry toward computationally assisted, image-driven approaches. The retained studies employ close-range and satellite imagery combined with Convolutional Neural Networks (CNNs), Long Short-Term Memory networks (LSTMs), and related models. Although reported validation metrics indicate strong predictive capability under specific conditions, performance remains dependent on site-specific calibration and reference discharge records. Broader operational deployment requires improved transferability, uncertainty integration, and cross-basin validation.","[Gonzalez-Vergara, Oscar Abel; Alarcon-Herrera, Maria Teresa; Blanco-Jaquez, Armando Daniel; Garcia-Pazos, Joel; Villarreal-Rodriguez, Samuel] Ctr Invest Mat Avanzados SC, Calle CIMAV 110, Ejido Arroyo Seco, Col 15 mayo, Durango 34147, Mexico; [Marin-Celestino, Ana Elizabeth] SECIHTI Inst Potosino Invest Cient & Tecnol AC, Div Geociencias Aplicadas, Camino Presa San Jose 2055,Col Lomas 4ta Secc, San Luis Potosi 78216, Mexico; [Salazar, Yolocuauhtli] Tecnol Nacl Mexico IT Durango, Postgrad Program Engn, Blvd Felipe Pescador 1830 Ote, Durango 34080, Mexico; [Martinez-Cruz, Diego Armando] SCIHTI Ctr Invest Mat Avanzados S C, Calle CIMAV 110,Ejido Arroyo Seco,Col 15 Mayo, Durango 34147, Mexico",,"Salazar-Muñoz, Yolocuauhtli/GPP-1853-2022",34,0,0,1,1,7.0,2,"Environmental Sciences; Geosciences, Multidisciplinary",Emerging Sources Citation Index (ESCI),Environmental Sciences & Ecology; Geology
